Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
438,tt10756184,2026-07-04,2026-07-04,,"Saloum","Saloum",https://www.imdb.com/title/tt10756184/,Movie,6.1,84,2021,"Action, Horror, Thriller",3621,2022-09-08,"Jean Luc Herbulot",,
439,tt1542960,2026-07-04,2026-07-04,,"The Figurine","The Figurine",https://www.imdb.com/title/tt1542960/,Movie,4.4,120,2009,"Horror, Thriller",325,2009-10-02,"Kunle Afolayan",,
440,tt1813370,2026-07-04,2026-07-04,,"Igodo","Igodo",https://www.imdb.com/title/tt1813370/,Video,8.1,103,1999,"Adventure",16,1999,"Andy Amenechi, Don Pedro Obaseki",,
441,tt3387582,2026-07-04,2026-07-04,,"Ojuju","Ojuju",https://www.imdb.com/title/tt3387582/,Movie,6.3,95,2014,"Horror, Thriller",49,2014-11-11,"C.J. 'Fiery' Obasi",,
442,tt12004038,2026-07-04,2026-07-04,,"Watcher","Watcher",https://www.imdb.com/title/tt12004038/,Movie,6.3,96,2022,"Drama, Horror, Mystery, Thriller",62426,2022-06-03,"Chloe Okuno",,
443,tt0040746,2026-07-04,2026-07-04,,"Rope","Rope",https://www.imdb.com/title/tt0040746/,Movie,7.9,80,1948,"Crime, Drama, Mystery, Thriller",166219,1948-09-25,"Alfred Hitchcock",,
444,tt32083311,2026-07-04,2026-07-04,,"On Becoming a Guinea Fowl","On Becoming a Guinea Fowl",https://www.imdb.com/title/tt32083311/,Movie,7.0,99,2024,"Comedy, Drama",2822,2025-07-04,"Rungano Nyoni",,
445,tt0286751,2026-07-04,2026-07-04,,"Pulse","Kairo",https://www.imdb.com/title/tt0286751/,Movie,6.6,119,2001,"Horror, Mystery, Sci-Fi, Thriller",32117,2005-11-09,"Kiyoshi Kurosawa",,
446,tt0101765,2026-07-04,2026-07-04,,"The Double Life of Véronique","La double vie de Véronique",https://www.imdb.com/title/tt0101765/,Movie,7.6,98,1991,"Drama, Fantasy, Music, Mystery, Romance",57495,1991-11-22,"Krzysztof Kieślowski",,
447,tt1172570,2026-07-04,2026-07-04,,"Bronson","Bronson",https://www.imdb.com/title/tt1172570/,Movie,7.0,92,2008,"Action, Crime, Drama",151119,2009-03-13,"Nicolas Winding Refn",,
448,tt0119164,2026-07-04,2026-07-04,,"The Full Monty","The Full Monty",https://www.imdb.com/title/tt0119164/,Movie,7.2,91,1997,"Comedy, Drama",120644,1997-09-19,"Peter Cattaneo",,
449,tt0067116,2026-07-04,2026-07-04,,"The French Connection","The French Connection",https://www.imdb.com/title/tt0067116/,Movie,7.6,104,1971,"Action, Crime, Drama, Thriller",151976,1971-10-09,"William Friedkin",,
450,tt21990160,2026-07-04,2026-07-04,,"Lomu","Lomu",https://www.imdb.com/title/tt21990160/,Movie,8.2,,2026,"Documentary, Biography, Sport",11,2026-09-07,"Gavin Fitzgerald, Vea Mafile'o",,
451,tt30425001,2026-07-07,2026-07-07,,"The Last Ronin","Posledniy Ronin",https://www.imdb.com/title/tt30425001/,Movie,5.0,115,2024,"Action, Adventure, Sci-Fi",785,2024-12-26,"Max Shishkin",,
452,tt0091219,2026-07-08,2026-07-08,,"Hotshot","Hotshot",https://www.imdb.com/title/tt0091219/,Movie,5.3,99,1986,"Drama, Sport",426,1987-01-23,"Rick King",,
453,tt0097235,2026-07-09,2026-07-09,,"The Dream Team","The Dream Team",https://www.imdb.com/title/tt0097235/,Movie,6.5,113,1989,"Comedy, Crime, Thriller",16223,1989-04-07,"Howard Zieff",,
454,tt26744289,2026-07-09,2026-07-09,,"Infested","Vermines",https://www.imdb.com/title/tt26744289/,Movie,6.2,106,2023,"Horror",15734,2024-04-26,"Sébastien Vanicek",,
455,tt1465522,2026-07-09,2026-07-09,,"Tucker and Dale vs Evil","Tucker and Dale vs Evil",https://www.imdb.com/title/tt1465522/,Movie,7.5,89,2010,"Comedy, Horror",210776,2010-12-09,"Eli Craig",,
456,tt14379088,2026-07-09,2026-07-09,,"Shin Kamen Rider","Shin Kamen Raidâ",https://www.imdb.com/title/tt14379088/,Movie,6.1,121,2023,"Action, Adventure, Drama, Fantasy, Sci-Fi",3964,2023-03-17,"Hideaki Anno",,
457,tt6129302,2026-07-09,2026-07-09,,"Bhavesh Joshi Superhero","Bhavesh Joshi Superhero",https://www.imdb.com/title/tt6129302/,Movie,7.6,154,2018,"Action, Drama",11650,2018-06-01,"Vikramaditya Motwane",,
458,tt8237172,2026-07-09,2026-07-09,,"Gundala","Gundala",https://www.imdb.com/title/tt8237172/,Movie,6.1,123,2019,"Action, Adventure, Drama, Sci-Fi",6281,2019-08-29,"Joko Anwar",,
459,tt6890582,2026-07-09,2026-07-09,,"Psychokinesis","Yeom-lyeok",https://www.imdb.com/title/tt6890582/,Movie,6.0,101,2018,"Action, Comedy, Fantasy",6921,2018-04-25,"Yeon Sang-ho",,
460,tt3775086,2026-07-09,2026-07-09,,"They Call Me Jeeg Robot","Lo chiamavano Jeeg Robot",https://www.imdb.com/title/tt3775086/,Movie,7.0,112,2015,"Action, Comedy, Drama, Sci-Fi",17684,2016-02-25,"Gabriele Mainetti",,
461,tt0105619,2026-07-09,2026-07-09,,"The Heroic Trio","Dung fong sam hap",https://www.imdb.com/title/tt0105619/,Movie,6.6,88,1993,"Action, Fantasy, Thriller",5372,1993-02-12,"Johnnie To",,
462,tt37694048,2026-07-15,2026-07-15,,"New Group","New Group",https://www.imdb.com/title/tt37694048/,Movie,6.0,82,2025,"Fantasy, Horror",146,2026-06-12,"Yûta Shimotsu",,
463,tt0100777,2026-07-15,2026-07-15,,"A Moment of Romance","Tin joek yau ching",https://www.imdb.com/title/tt0100777/,Movie,7.3,92,1990,"Action, Crime, Drama, Romance",2381,1990-06-14,"Benny Chan",,
464,tt39602215,2026-07-15,2026-07-15,,"The Samurai and the Prisoner","Kokurôjô",https://www.imdb.com/title/tt39602215/,Movie,7.0,147,2026,"Drama, History, Mystery, Thriller, War",513,2026-08,"Kiyoshi Kurosawa",,
465,tt0094961,2026-07-17,2026-07-17,,"Dead Heat","Dead Heat",https://www.imdb.com/title/tt0094961/,Movie,6.1,84,1988,"Action, Comedy, Horror, Sci-Fi, Thriller",10518,1988-05-06,"Mark Goldblatt",,
466,tt2798920,2026-07-17,2026-07-17,,"Annihilation","Annihilation",https://www.imdb.com/title/tt2798920/,Movie,6.8,115,2018,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",397582,2018-02-23,"Alex Garland",8,2018-04-14
467,tt21285562,2026-07-17,2026-07-17,,"The Dog Stars","The Dog Stars",https://www.imdb.com/title/tt21285562/,Movie,,118,2026,"Action, Adventure, Drama, Sci-Fi, Thriller",0,2026-08-28,"Ridley Scott",,
468,tt0092632,2026-07-17,2026-07-17,,"The Believers","The Believers",https://www.imdb.com/title/tt0092632/,Movie,6.1,114,1987,"Crime, Drama, Horror, Mystery, Thriller",9607,1987-06-10,"John Schlesinger",,
469,tt0838283,2026-07-18,2026-07-18,,"Step Brothers","Step Brothers",https://www.imdb.com/title/tt0838283/,Movie,6.9,98,2008,"Comedy",344215,2008-07-25,"Adam McKay",7,2012-04-04
470,tt0947798,2026-07-18,2026-07-18,,"Black Swan","Black Swan",https://www.imdb.com/title/tt0947798/,Movie,8.0,108,2010,"Drama, Thriller",895825,2010-12-17,"Darren Aronofsky",7,2011-02-07
471,tt21692408,2026-07-21,2026-07-21,,"Kung Fu Panda 4","Kung Fu Panda 4",https://www.imdb.com/title/tt21692408/,Movie,6.3,94,2024,"Animation, Action, Adventure, Comedy, Family, Fantasy",85145,2024-03-08,"Mike Mitchell, Stephanie Stine",,
472,tt0080678,2026-07-22,2026-07-22,,"The Elephant Man","The Elephant Man",https://www.imdb.com/title/tt0080678/,Movie,8.2,124,1980,"Biography, Drama",283686,1980-10-10,"David Lynch",,
473,tt6418778,2026-07-22,2026-07-22,,"Fast Color","Fast Color",https://www.imdb.com/title/tt6418778/,Movie,6.1,100,2018,"Drama, Sci-Fi, Thriller",7560,2019-04-19,"Julia Hart",,
474,tt1570728,2026-07-25,2026-07-25,,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,Movie,7.4,118,2011,"Comedy, Drama, Romance",627226,2011-07-29,"Glenn Ficarra, John Requa",7,2012-11-22
475,tt0165348,2026-07-28,2026-07-28,,"Champion of Death","Kenka karate kyokushin ken",https://www.imdb.com/title/tt0165348/,Movie,6.6,85,1975,"Action, Biography, Drama",500,1977-03,"Kazuhiko Yamaguchi",,
